Country,museumCount,iso3,Population,Museums_per_100k
Armenia,120,ARM,2962300.0,4.050906390304831
Bolivia,120,BOL,11937360.0,1.0052473913830193
Ethiopia PDR,115,ETH,122138588.0,0.09415533770539414
Uzbekistan,114,UZB,34243696.0,0.33290798983848
Lithuania,106,LTU,2808380.0,3.774417991867198
Myanmar,104,MMR,53387102.0,0.19480360630925425
Slovenia,93,SVN,2108079.0,4.411599375545223
Egypt,86,EGY,110957008.0,0.0775074973182406
Albania,82,ALB,2811666.0,2.916420371409691
Tunisia,80,TUN,12048622.0,0.6639763451787266
Tajikistan,71,TJK,9966908.0,0.7123573328859863
Kyrgyz Republic,67,KGZ,6851224.0,0.9779274477086137
Singapore,63,SGP,5453566.0,1.1552074367487255
Cambodia,60,KHM,16974305.0,0.3534754442081723
Cameroon,60,CMR,26915758.0,0.22291774208996828
Venezuela,57,VEN,28237826.0,0.20185689932362355
Iceland,50,ISL,372520.0,13.422098142381618
Nigeria,48,NGA,218529286.0,0.02196501937044722
Algeria,47,DZA,44761099.0,0.10500189014572675
Costa Rica,47,CRI,5059988.0,0.9288559577611647
Jordan,46,JOR,11066356.0,0.4156743195321025
Pakistan,46,PAK,239477801.0,0.019208460996349302
Morocco,44,MAR,36954442.0,0.11906552397679283
Luxembourg,42,LUX,640064.0,6.561843815618438
Sri Lanka,40,LKA,22156000.0,0.18053800324968405
Nicaragua,38,NIC,6644741.0,0.571880830268629
Nepal,35,NPL,29475010.0,0.11874465861080286
Republic of Macedonia,35,MKD,1837114.0,1.905162118409636
Palestina,33,PSE,4922749.0,0.6703571520709262
Bosnia-Herzegovina,32,BIH,3244907.0,0.986160774407402
Namibia,31,NAM,2810548.0,1.1029877447387484
Burkina Faso,30,BFA,21995243.0,0.1363931282777826
Madagascar,30,MDG,29691083.0,0.10104043695543204
Libya,27,LBY,7135175.0,0.37840697670344453
Malta,27,MLT,518150.0,5.2108462800347395
Cape Verde Islands,26,CPV,516649.0,5.032430141159665
Senegal,26,SEN,17220867.0,0.15097962257068706
Syrian Arab Republic,26,SYR,21628839.0,0.12020987349344085
Montenegro,24,MNE,625053.0,3.8396743956112522
Bangladesh,23,BGD,167658854.0,0.01371833306220738
Kenya,23,KEN,53219166.0,0.043217513029046715
Mozambique,22,MOZ,31707800.0,0.06938355861964564
Lebanese Republic,21,LBN,5718122.0,0.367253444400102
Mali,21,MLI,22388630.0,0.09379761066219773
Honduras,20,HND,10289877.0,0.19436578299235258
Andorra,19,AND,78364.0,24.245827165535193
Guatemala,19,GTM,17598650.0,0.10796282669409302
Zimbabwe,19,ZWE,15797210.0,0.12027440288506641
Iraq,19,IRQ,43071211.0,0.044112992318697516
Panama,19,PAN,4345405.0,0.43724347903129857
Sudan,16,SDN,48066924.0,0.03328692304088358
Turkmenistan,16,TKM,7092043.0,0.2256049490957683
Jamaica,16,JAM,2837682.0,0.5638404867071082
Angola,15,AGO,34532429.0,0.043437430943534264
Dominican Republic,14,DOM,11123476.0,0.1258599380265665
Cote d’Ivoire,14,CIV,29639736.0,0.047233888992803445
UAE,13,ARE,9575152.0,0.13576807971299046
Belarus,12,BLR,9302585.0,0.12899640261282214
Lao Peoples Dem. Rep.,12,LAO,7453194.0,0.16100479874802667
Oman,12,OMN,4500424.0,0.2666415431079383
El Salvador,12,SLV,6255782.0,0.19182254113074912
North Korea,11,PRK,26232534.0,0.04193266270044671
San Marino,11,SMR,34252.0,32.114912997781154
Togo,11,TGO,8878379.0,0.12389649056432486
Central African Rep.,11,CAF,5112100.0,0.21517575947262377
Belize,10,BLZ,395346.0,2.5294299170852876
Yemen,10,YEM,37140230.0,0.02692498134771917
Monaco,10,MCO,38527.0,25.95582318893244
Bahamas,9,BHS,396373.0,2.2705885617839763
Ghana,9,GHA,32518665.0,0.027676412915474853
Benin,8,BEN,13413417.0,0.0596417750972776
Botswana,8,BWA,2401441.0,0.33313331453906214
Haiti,8,HTI,11374586.0,0.07033223011369381
Guinea Bissau,8,GNB,2058841.0,0.3885681312932858
Malawi,8,MWI,20047258.0,0.039905706805389546
Papua New Guinea,8,PNG,10012896.0,0.07989696487409836
Rwanda,8,RWA,13355260.0,0.0599014919964119
Barbados,7,BRB,282147.0,2.4809762287034776
Gambia,7,GMB,2576010.0,0.271738075550949
Guinea,7,GIN,13710513.0,0.051055711773877466
Qatar,7,QAT,2504910.0,0.27945115792583364
Congo,7,COG,5892183.0,0.11880146967600971
Mauritius,7,MUS,1266334.0,0.5527767555794917
Tanzania,7,TZA,62830412.0,0.011141101541718363
Brunei Darussalam,6,BRN,451721.0,1.3282535016082935
Congo DR,6,COD,99148932.0,0.006051502400449457
Uganda,6,UGA,45910930.0,0.01306878340299358
Vanuatu,5,VUT,305868.0,1.6346920893980412
Zambia,5,ZMB,19603607.0,0.025505510286958924
Maldives,5,MDV,516154.0,0.9687031389856516
Afghanistan,4,AFG,40000412.0,0.00999989700106089
Bhutan,4,BTN,775442.0,0.5158348400009285
Timor Leste,4,TLS,1350139.0,0.2962657918925385
Kuwait,4,KWT,4360865.0,0.09172492154652803
Liberia,4,LBR,5259323.0,0.07605541625794802
Tonga,4,TON,105490.0,3.7918286093468576
Chad,4,TCD,17828273.0,0.022436272991781088
Bahrain,3,BHR,1504365.0,0.19941968870586593
Gabon,3,GAB,2376722.0,0.12622427023438165
Comoro Islands,3,COM,818174.0,0.3666701704038505
Lesotho,3,LSO,2261542.0,0.1326528536724058
Niger,3,NER,24502140.0,0.012243828498245459
Palau Islands,3,PLW,17783.0,16.870044424450317
Samoa,3,WSM,213779.0,1.403318380196371
Solomon Islands,3,SLB,762591.0,0.3933956734343836
Suriname,3,SUR,617896.0,0.485518598599117
Antigua and Barbuda,2,ATG,92349.0,2.165697517027797
Burundi,2,BDI,12965481.0,0.015425575032657872
Mauritania,2,MRT,4734874.0,0.04223977237831461
Seychelles,2,SYC,99258.0,2.0149509359447095
Eritrea,2,ERI,3350183.0,0.05969823141004536
Eswatini,2,SWZ,1206593.0,0.16575597571011932
Guyana,1,GUY,815482.0,0.1226268636217599
Grenada,1,GRD,116688.0,0.8569861511037982
Marshall Isds,1,MHL,41367.0,2.4173858389537553
San Tome,1,STP,221961.0,0.4505295975419105
Saint Lucia,1,LCA,178522.0,0.5601550509180941
Somalia,1,SOM,17271431.0,0.005789908201584455
Sierra Leone,1,SLE,8094602.0,0.012353911903265903
Trinidad & Tobago,1,TTO,1367558.0,0.07312304121653342
Fiji,1,FJI,916711.0,0.10908563331300705
Equatorial Guinea,1,GNQ,1758786.0,0.056857400502391985
